,index,team_abbr,opp_abbr,pf,pa,pace,location,datetime,true_pace,location_numeric,margin,eigen_opp_rating,eigen_team_rating,eigen_opp_game_score,eigen_team_game_score,em_opp_rating,em_team_rating,em_opp_game_score,em_team_game_score,adj_em_opp_rating,adj_em_team_rating,adj_em_opp_game_score,adj_em_team_game_score,team_most_recent_gs1,team_most_recent_gs2,team_most_recent_gs3,opp_most_recent_gs1,opp_most_recent_gs2,opp_most_recent_gs3,team_rating,opp_rating,team_rating*opp_rating
0,2021-11-16-20-texas-arlington,ABILENE-CHRISTIAN,TEXAS-ARLINGTON,80,71,72.6,Away,2021-11-16,True,-1,9,47.89207812020386,47.967801122758466,-239.4603906010193,239.83900561379232,-7.896016636732384,3.0191791078905794,39.48008318366192,15.095895539452897,-9.393875843496732,3.820452670154201,46.969379217483656,19.102263350771004,-19.102263350771004,-19.102263350771004,-68.76814806277562,441.5121646443464,294.9021592677876,-19.66014395118584,3.820452670154201,-9.393875843496732,-35.88885804938413
1,2021-12-04-16-abilene-christian,ABILENE-CHRISTIAN,INCARNATE-WORD,98,65,73.7,Home,2021-12-04,True,1,33,47.80078473269953,47.967801122758466,-1768.6290351098828,1774.8086415420632,-21.05562681041846,3.0191791078905794,779.0581919854831,111.70962699195144,-19.66014395118584,3.820452670154201,727.4253261938761,141.35674879570544,19.102263350771004,-19.102263350771004,-19.102263350771004,98.30071975592921,294.9021592677876,-19.66014395118584,3.820452670154201,-19.66014395118584,-75.11064945392391
2,2021-12-11-19-abilene-christian,ABILENE-CHRISTIAN,DREXEL,73,56,73.5,Home,2021-12-11,True,1,17,47.946674818025556,47.967801122758466,-1006.8801711785367,1007.3238235779278,-0.026100975317433495,3.0191791078905794,0.5481204816661034,63.40276126570217,-1.3602084100604324,3.820452670154201,28.56437661126908,80.22950607323823,141.35674879570544,19.102263350771004,-19.102263350771004,8.161250460362595,-34.00521025151081,10.881667280483459,3.820452670154201,-1.3602084100604324,-5.196611852181579
3,2021-12-15-20-abilene-christian,ABILENE-CHRISTIAN,CAL-STATE-BAKERSFIELD,69,59,75.8,Home,2021-12-15,True,1,10,47.88052887034945,47.967801122758466,-670.3274041848923,671.5492157186185,-9.56079904909899,3.0191791078905794,133.85118668738585,42.26850751046811,-10.277343980036605,3.820452670154201,143.88281572051247,53.486337382158816,80.22950607323823,141.35674879570544,19.102263350771004,-51.386719900183024,-30.832031940109815,143.88281572051247,3.820452670154201,-10.277343980036605,-39.26410625062405
4,2021-12-22-20-abilene-christian,ABILENE-CHRISTIAN,LONGWOOD,74,58,77.0,Home,2021-12-22,True,1,16,47.93952009377011,47.967801122758466,-958.7904018754023,959.3560224551693,-1.05742848627699,3.0191791078905794,21.1485697255398,60.38358215781159,-0.5937853996222108,3.820452670154201,11.875707992444216,76.40905340308402,53.486337382158816,80.22950607323823,141.35674879570544,-24.93898678413285,-14.250849590933058,7.125424795466529,3.820452670154201,-0.5937853996222108,-2.2685290154852544
5,2021-12-30-20-utah-valley,ABILENE-CHRISTIAN,UTAH-VALLEY,80,76,63.5,Away,2021-12-30,True,-1,4,47.9654200113791,47.967801122758466,0.0,0.0,2.6759505522505833,3.0191791078905794,0.0,0.0,3.469438028293582,3.820452670154201,0.0,0.0,76.40905340308402,53.486337382158816,80.22950607323823,41.63325633952299,-55.51100845269731,-27.755504226348656,3.820452670154201,3.469438028293582,13.254823779128742
6,2022-01-01-21-dixie-state,ABILENE-CHRISTIAN,DIXIE-STATE,64,50,74.6,Away,2022-01-01,True,-1,14,47.88510369200047,47.967801122758466,-478.85103692000473,479.67801122758465,-8.901355126737087,3.0191791078905794,89.01355126737087,30.191791078905794,-9.632605728947082,3.820452670154201,96.32605728947082,38.20452670154201,0.0,76.40905340308402,53.486337382158816,96.32605728947082,308.2433833263066,-48.16302864473541,3.820452670154201,-9.632605728947082,-36.80091427769853
7,2022-01-06-20-abilene-christian,ABILENE-CHRISTIAN,STEPHEN-F-AUSTIN,58,64,73.1,Home,2022-01-06,True,1,-6,47.98050830466057,47.967801122758466,95.96101660932113,-95.93560224551693,4.8508732185936765,3.0191791078905794,9.701746437187353,-6.038358215781159,5.265861561184474,3.820452670154201,10.531723122368948,-7.640905340308402,38.20452670154201,0.0,76.40905340308402,-63.19033873421369,-47.392754050660265,63.19033873421369,3.820452670154201,5.265861561184474,20.117974862089593
8,2022-01-08-19-abilene-christian,ABILENE-CHRISTIAN,SAM-HOUSTON-STATE,63,65,62.2,Home,2022-01-08,True,1,-2,47.94306194798061,47.967801122758466,-95.88612389596122,95.93560224551693,-0.5468830680783299,3.0191791078905794,1.0937661361566597,6.038358215781159,-2.046777560274235,3.820452670154201,4.09355512054847,7.640905340308402,-7.640905340308402,38.20452670154201,0.0,30.701663404113525,-24.561330723290823,-30.701663404113525,3.820452670154201,-2.046777560274235,-7.819616795361402
9,2022-01-13-21-grand-canyon,ABILENE-CHRISTIAN,GRAND-CANYON,68,95,70.8,Away,2022-01-13,True,-1,-27,48.01702145465141,47.967801122758466,1488.5276650941937,-1487.0018348055125,10.114111151023053,3.0191791078905794,313.53744568171464,-93.59455234460796,10.13550290295846,3.820452670154201,314.20058999171226,-118.43403277478023,7.640905340308402,-7.640905340308402,38.20452670154201,101.35502902958461,212.84556096212768,10.13550290295846,3.820452670154201,10.13550290295846,38.72220912896331
