
index,team_abbr,opp_abbr,pf,pa,pace,location,datetime,true_pace
2022-01-25-19-central-michigan,AKRON,central-michigan,60,56,61.7,Away,2022-01-25,True

2022-01-28-19-toledo,AKRON,toledo,76,84,70.0,Away,2022-01-28,True

2022-02-04-18-akron,AKRON,miami-oh,66,55,62.7,Home,2022-02-04,True

2022-02-06-16-miami-oh,AKRON,miami-oh,71,59,65.1,Away,2022-02-06,True

2022-02-08-20-northern-illinois,AKRON,northern-illinois,70,64,61.2,Away,2022-02-08,True

2021-11-09-20-alabama-am,ALABAMA-AM,tennessee-state,82,73,74.7,Home,2021-11-09,True

2021-11-13-17-jacksonville-state,ALABAMA-AM,jacksonville-state,47,70,67.9,Away,2021-11-13,True

2021-11-16-19-cincinnati,ALABAMA-AM,cincinnati,66,89,75.4,Away,2021-11-16,True

2021-11-21-15-alabama-birmingham,ALABAMA-AM,alabama-birmingham,41,86,77.4,Away,2021-11-21,True

2021-11-24-17-western-kentucky,ALABAMA-AM,western-kentucky,62,88,75.5,Away,2021-11-24,True

2021-12-08-19-north-alabama,ALABAMA-AM,north-alabama,45,56,66.8,Away,2021-12-08,True

2021-12-11-19-samford,ALABAMA-AM,samford,50,52,64.4,Away,2021-12-11,True

2021-12-14-19-troy,ALABAMA-AM,troy,57,66,66.9,Away,2021-12-14,True

2021-12-18-13-indiana-state,ALABAMA-AM,indiana-state,43,67,67.5,Away,2021-12-18,True

2021-12-30-20-lipscomb,ALABAMA-AM,lipscomb,63,66,67.3,Away,2021-12-30,True

2022-01-03-20-arkansas-pine-bluff,ALABAMA-AM,arkansas-pine-bluff,70,50,55.4,Away,2022-01-03,True

2022-01-05-20-mississippi-valley-state,ALABAMA-AM,mississippi-valley-state,72,67,74.5,Away,2022-01-05,True

2022-01-08-17-alabama-am,ALABAMA-AM,alcorn-state,71,78,76.5,Home,2022-01-08,True

2022-01-10-20-alabama-am,ALABAMA-AM,jackson-state,60,58,72.6,Home,2022-01-10,True

2022-01-15-17-alabama-state,ALABAMA-AM,alabama-state,55,59,64.7,Away,2022-01-15,True

2022-01-22-19-texas-southern,ALABAMA-AM,texas-southern,44,78,74.3,Away,2022-01-22,True

2022-01-24-20-prairie-view,ALABAMA-AM,prairie-view,48,72,66.9,Away,2022-01-24,True

2022-01-29-17-alabama-am,ALABAMA-AM,florida-am,60,65,66.5,Home,2022-01-29,True

2022-01-31-20-alabama-am,ALABAMA-AM,bethune-cookman,67,52,65.8,Home,2022-01-31,True

2022-02-05-18-southern,ALABAMA-AM,southern,64,73,73.8,Away,2022-02-05,True

2022-02-07-21-grambling,ALABAMA-AM,grambling,50,58,67.8,Away,2022-02-07,True

2021-11-09-19-alabama-birmingham,ALABAMA-BIRMINGHAM,north-carolina-asheville,102,77,73.0,Home,2021-11-09,True

2021-11-12-19-alabama-birmingham,ALABAMA-BIRMINGHAM,morehead-state,85,71,72.0,Home,2021-11-12,True

2021-11-14-15-alabama-birmingham,ALABAMA-BIRMINGHAM,Rhodes,98,61,77.2,Home,2021-11-14,True

2021-11-18-19-south-carolina,ALABAMA-BIRMINGHAM,south-carolina,63,66,76.0,Away,2021-11-18,True

2021-11-21-15-alabama-birmingham,ALABAMA-BIRMINGHAM,alabama-am,86,41,77.4,Home,2021-11-21,True

