seed,team,qtrs,semis,finals,champ
1,kansas,1.0,0.8201,0.5262,0.2589
2,baylor,1.0,0.7963,0.5058,0.3238
3,texas tech,1.0,0.775,0.3781,0.2183
4,texas,1.0,0.6738,0.319,0.1275
5,texas christian,1.0,0.3262,0.1029,0.0265
6,iowa state,1.0,0.225,0.0504,0.0154
7,oklahoma,1.0,0.2037,0.0657,0.0202
8,kansas state,0.4801,0.0851,0.024,0.0039
9,west virginia,0.5199,0.0948,0.0279,0.0055
